station,dep,layer,latitude,longitude,cbSeg92,state,stationGrpName,parmName,gamName,periodName,seasonName,gamDiff.bl.mn,gamDiff.cr.mn,gamDiff.bl.mn.obs,gamDiff.cr.mn.obs,gamDiff.abs.chg,gamDiff.abs.chg.obs,gamDiff.pct.chg,gamDiff.diff.se,gamDiff.chg.pval
CB1.1,do,B,39.54794,-76.08481,CB1TF,MD,Chesapeake Bay Mainstem (CB1TF),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,6.22882154,7.063683828,6.22882154,7.063683828,0.834862288,0.834862288,13.40321412,0.231093664,0.000332208
CB2.1,do,B,39.44149,-76.02599,CB1TF,MD,Chesapeake Bay Mainstem (CB1TF),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,6.365766019,6.962759762,6.365766019,6.962759762,0.596993744,0.596993744,9.378191753,0.232404539,0.010477595
CB2.2,do,B,39.34873,-76.17579,CB2OH,MD,Chesapeake Bay Mainstem (CB2OH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,5.08056285,5.824094164,5.08056285,5.824094164,0.743531314,0.743531314,14.63482169,0.423951914,0.080034496
CB3.1,do,B,39.2495,-76.2405,CB2OH,MD,Chesapeake Bay Mainstem (CB2OH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,3.101327345,2.944749976,3.101327345,2.944749976,-0.156577369,-0.156577369,-5.048721133,0.337710976,0.643090284
CB3.2,do,B,39.16369,-76.30631,CB3MH,MD,Chesapeake Bay Mainstem (CB3MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,1.832558313,1.825656487,1.832558313,1.825656487,-0.006901826,-0.006901826,-0.376622443,0.44214582,0.987551367
CB3.3C,do,B,38.99596,-76.35967,CB3MH,MD,Chesapeake Bay Mainstem (CB3MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,0.178651038,0.930988821,0.178651038,0.930988821,0.752337783,0.752337783,421.1214176,0.331722044,0.023715508
CB3.3E,do,B,39.00412,-76.34517,CB3MH,MD,Chesapeake Bay Mainstem (CB3MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,3.683179345,4.359761334,3.683179345,4.359761334,0.676581989,0.676581989,18.36950974,0.415074253,0.103833318
CB3.3W,do,B,39.00462,-76.3881,CB3MH,MD,Chesapeake Bay Mainstem (CB3MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,2.767281535,3.451045629,2.767281535,3.451045629,0.683764094,0.683764094,24.70887351,0.390407863,0.080593331
CB4.1C,do,B,38.82593,-76.39945,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,0.303034951,0.797688917,0.303034951,0.797688917,0.494653966,0.494653966,163.2333054,0.241611666,0.041102221
CB4.1E,do,B,38.81809,-76.37144,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,0.525803007,0.785352627,0.525803007,0.785352627,0.25954962,0.25954962,49.36252096,0.245379506,0.290774133
CB4.1W,do,B,38.81498,-76.46272,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,3.433306588,3.184505054,3.433306588,3.184505054,-0.248801535,-0.248801535,-7.246703093,0.324508909,0.443687577
CB4.2C,do,B,38.64618,-76.42126,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,0.567220282,0.906306793,0.567220282,0.906306793,0.339086511,0.339086511,59.78039263,0.203456153,0.096156951
CB4.2E,do,B,38.64499,-76.40131,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,4.245043646,4.266434922,4.245043646,4.266434922,0.021391276,0.021391276,0.503911793,0.307372388,0.944549852
CB4.2W,do,B,38.64354,-76.50217,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,3.943091076,3.687513452,3.943091076,3.687513452,-0.255577623,-0.255577623,-6.481656611,0.356436101,0.473747433
CB4.3C,do,B,38.55505,-76.42794,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,0.656316479,0.98520639,0.656316479,0.98520639,0.328889911,0.328889911,50.11148157,0.208495224,0.115262769
CB4.3E,do,B,38.55624,-76.39121,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,0.676992676,1.005733292,0.676992676,1.005733292,0.328740616,0.328740616,48.55896194,0.237037607,0.166208007
CB4.3W,do,B,38.55728,-76.49402,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,3.874224335,3.35547942,3.874224335,3.35547942,-0.518744915,-0.518744915,-13.38964577,0.371644742,0.163502611
CB4.4,do,B,38.41457,-76.34565,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,0.816044145,1.140839661,0.816044145,1.140839661,0.324795516,0.324795516,39.8012189,0.225216458,0.149826654
CB5.1,do,B,38.3187,-76.29214,CB5MH_MD,MD,Chesapeake Bay Mainstem (CB5MHMD),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,0.968707562,1.430455574,0.968707562,1.430455574,0.461748012,0.461748012,47.66639902,0.246569711,0.061637053
CB5.1W,do,B,38.32522,-76.37574,CB5MH_MD,MD,Chesapeake Bay Mainstem (CB5MHMD),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,5.333768034,4.709695137,5.333768034,4.709695137,-0.624072896,-0.624072896,-11.70041314,0.222133374,0.005130254
CB5.2,do,B,38.13705,-76.22787,CB5MH_MD,MD,Chesapeake Bay Mainstem (CB5MHMD),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,1.40644263,1.941411425,1.40644263,1.941411425,0.534968795,0.534968795,38.03701507,0.250527784,0.033170563
CB5.3,do,B,37.91011,-76.17137,CB5MH_MD,MD,Chesapeake Bay Mainstem (CB5MHMD),Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,2.200063945,2.557365244,2.200063945,2.557365244,0.357301299,0.357301299,16.24049608,0.220346102,0.105502152
EE1.1,do,B,38.88,-76.2515,EASMH,MD,Upper Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,2.573171866,1.410235451,2.573171866,1.410235451,-1.162936415,-1.162936415,-45.19466539,0.490226124,0.018066416
EE2.1,do,B,38.6549,-76.2643,CHOMH1,MD,Choptank,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,5.983595142,5.758403583,5.983595142,5.758403583,-0.225191559,-0.225191559,-3.763482553,0.237929225,0.344386953
EE2.2,do,B,38.52609,-76.30408,LCHMH,MD,Choptank,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,2.942201202,2.429735396,2.942201202,2.429735396,-0.512465806,-0.512465806,-17.4177689,0.412534722,0.214787688
EE3.0,do,B,38.28093,-76.01033,FSBMH,MD,Lower Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,6.630068753,6.781253837,6.630068753,6.781253837,0.151185084,0.151185084,2.280294366,0.261703143,0.563824994
EE3.1,do,B,38.19685,-75.97321,TANMH_MD,MD,Lower Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,5.806643806,5.954376296,5.806643806,5.954376296,0.14773249,0.14773249,2.544197563,0.247067283,0.550164448
EE3.2,do,B,37.98139,-75.92423,TANMH_MD,MD,Lower Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,5.137490664,4.968267118,5.137490664,4.968267118,-0.169223545,-0.169223545,-3.293894945,0.227958827,0.458283227
EE3.3,do,B,37.91455,-75.80148,POCMH_MD,MD,Lower Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,6.79619122,6.655717389,6.79619122,6.655717389,-0.140473831,-0.140473831,-2.066949368,0.163935059,0.392009085
ET1.1,do,B,39.56976,-75.96782,NORTF,MD,Upper Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,7.991913621,8.254232726,7.991913621,8.254232726,0.262319104,0.262319104,3.282306551,0.469911975,0.577057805
ET10.1,do,B,38.07615,-75.57125,POCTF,MD,Lower Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,5.504549615,3.684638453,5.504549615,3.684638453,-1.819911163,-1.819911163,-33.06194494,0.321086805,2.93E-08
ET2.1,do,B,39.5293,-75.81135,C&DOH_MD,MD,Upper Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,6.104212299,6.553249915,6.104212299,6.553249915,0.449037616,0.449037616,7.356192636,0.327616134,0.171351812
ET2.2,do,B,39.46704,-75.87368,BOHOH,MD,Upper Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,7.132551766,7.955418024,7.132551766,7.955418024,0.822866259,0.822866259,11.53677233,0.432016171,0.057612094
ET2.3,do,B,39.50873,-75.89783,ELKOH,MD,Upper Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,6.595452038,6.687731666,6.595452038,6.687731666,0.092279628,0.092279628,1.39914031,0.353916022,0.794446435
ET3.1,do,B,39.36415,-75.88203,SASOH,MD,Upper Eastern Shore,Dissolved Oxygen [mg/L],2-Non-linear trend with Seas+Int,Full Record,Summer1,6.354522886,6.63266747,6.354522886,6.63266747,0.278144584,0.278144584,4.377112005,0.382383761,0.467433414
